raw_text,model_input,text,transformer_text,label,target,userLang,language_name,app_name,review_date
Emankhan,lang_jp Emankhan,lang_jp emankhan,Emankhan,neutral,1,JP,Japanese,Facebook Messenger,2023-09-19 12:52:01
🥴,lang_jp 🥴,lang_jp 🥴,🥴,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:50:31
Very nice app,lang_jp Very nice app,lang_jp very nice app,Very nice app,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:50:16
"kinda bad, slow & no more features of backread.","lang_jp kinda bad, slow & no more features of backread.","lang_jp kinda bad, slow & no more features of backread.","kinda bad, slow & no more features of backread.",negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:49:57
Nice,lang_jp Nice,lang_jp nice,Nice,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:49:38
Its hard to delete message,lang_jp Its hard to delete message,lang_jp its hard to delete message,Its hard to delete message,neutral,1,JP,Japanese,Facebook Messenger,2023-09-19 12:48:22
Best social app out there been using it for years,lang_jp Best social app out there been using it for years,lang_jp best social app out there been using it for years,Best social app out there been using it for years,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:48:03
it is sometimes loading but it depends on the cignal and the quality of the phone,lang_jp it is sometimes loading but it depends on the cignal and the quality of the phone,lang_jp it is sometimes loading but it depends on the cignal and the quality of the phone,it is sometimes loading but it depends on the cignal and the quality of the phone,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:46:59
"Y*wa, Inyong MESSENGER angkol dli mo gana watdafak. Tanan VM dinako ma dungog pati ang GIF nga gina send dinako ma view waa!!!!","lang_jp Y*wa, Inyong MESSENGER angkol dli mo gana watdafak. Tanan VM dinako ma dungog pati ang GIF nga gina send dinako ma view waa!!!!","lang_jp y*wa, inyong messenger angkol dli mo gana watdafak. tanan vm dinako ma dungog pati ang gif nga gina send dinako ma view waa!!!!","Y*wa, Inyong MESSENGER angkol dli mo gana watdafak. Tanan VM dinako ma dungog pati ang GIF nga gina send dinako ma view waa!!!!",negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:46:51
Ok,lang_jp Ok,lang_jp ok,Ok,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:46:49
𝑴𝒆𝒔𝒔𝒆𝒏𝒈𝒆𝒓 𝒉𝒂𝒔 𝒔𝒕𝒐𝒑𝒑𝒆𝒅,lang_jp 𝑴𝒆𝒔𝒔𝒆𝒏𝒈𝒆𝒓 𝒉𝒂𝒔 𝒔𝒕𝒐𝒑𝒑𝒆𝒅,lang_jp messenger has stopped,Messenger has stopped,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:46:44
2 𝗅𝖺𝗇𝗀 𝗐𝖺𝗅𝖺𝗇𝗀 𝗇𝗈𝗍𝖾𝗌 𝖾𝗁 𝗁𝖺𝗁𝖺𝗁𝗁𝖺𝖺,lang_jp 2 𝗅𝖺𝗇𝗀 𝗐𝖺𝗅𝖺𝗇𝗀 𝗇𝗈𝗍𝖾𝗌 𝖾𝗁 𝗁𝖺𝗁𝖺𝗁𝗁𝖺𝖺,lang_jp 2 lang walang notes eh hahahhaa,2 lang walang notes eh hahahhaa,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:46:40
Maganda lalo na kapag may ka mwa²,lang_jp Maganda lalo na kapag may ka mwa²,lang_jp maganda lalo na kapag may ka mwa2,Maganda lalo na kapag may ka mwa2,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:44:26
Excellent,lang_jp Excellent,lang_jp excellent,Excellent,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:42:56
Han badhiya Hui messenger ladki se baat,lang_jp Han badhiya Hui messenger ladki se baat,lang_jp han badhiya hui messenger ladki se baat,Han badhiya Hui messenger ladki se baat,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:40:42
I enjoy using it. I don't like the way it saves messages though.,lang_jp I enjoy using it. I don't like the way it saves messages though.,lang_jp i enjoy using it. i don't like the way it saves messages though.,I enjoy using it. I don't like the way it saves messages though.,neutral,1,JP,Japanese,Facebook Messenger,2023-09-19 12:35:43
Good app,lang_jp Good app,lang_jp good app,Good app,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:33:19
I have a bad situation.... because messenger app new updates not installing.... fix this issue... thanks messenger team.....❣,lang_jp I have a bad situation.... because messenger app new updates not installing.... fix this issue... thanks messenger team.....❣,lang_jp i have a bad situation.... because messenger app new updates not installing.... fix this issue... thanks messenger team.....❣,I have a bad situation.... because messenger app new updates not installing.... fix this issue... thanks messenger team.....❣,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:33:07
Good app,lang_jp Good app,lang_jp good app,Good app,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:31:40
Bigla nag log pag nka chat head di ma scroll pa baba ung dapat I message,lang_jp Bigla nag log pag nka chat head di ma scroll pa baba ung dapat I message,lang_jp bigla nag log pag nka chat head di ma scroll pa baba ung dapat i message,Bigla nag log pag nka chat head di ma scroll pa baba ung dapat I message,neutral,1,JP,Japanese,Facebook Messenger,2023-09-19 12:30:41
Nice apps,lang_jp Nice apps,lang_jp nice apps,Nice apps,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:30:14
Good app,lang_jp Good app,lang_jp good app,Good app,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:29:06
"I've been using the app for many years now, this is the first time that i encountered an annoying bug, I cannot download files in the app, i dont know why, it just doesnt download the file, can you please help? Dowloading files is really essential for me.","lang_jp I've been using the app for many years now, this is the first time that i encountered an annoying bug, I cannot download files in the app, i dont know why, it just doesnt download the file, can you please help? Dowloading files is really essential for me.","lang_jp i've been using the app for many years now, this is the first time that i encountered an annoying bug, i cannot download files in the app, i dont know why, it just doesnt download the file, can you please help? dowloading files is really essential for me.","I've been using the app for many years now, this is the first time that i encountered an annoying bug, I cannot download files in the app, i dont know why, it just doesnt download the file, can you please help? Dowloading files is really essential for me.",negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:26:49
Bloated piece of garbage. Messenger Lite was miles better than this. Uninstalled and never going back. Junk!,lang_jp Bloated piece of garbage. Messenger Lite was miles better than this. Uninstalled and never going back. Junk!,lang_jp bloated piece of garbage. messenger lite was miles better than this. uninstalled and never going back. junk!,Bloated piece of garbage. Messenger Lite was miles better than this. Uninstalled and never going back. Junk!,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:26:34
Don't enjoy the every so often glitches that seem bound to happen regardless of the amount of updates to the app happen,lang_jp Don't enjoy the every so often glitches that seem bound to happen regardless of the amount of updates to the app happen,lang_jp don't enjoy the every so often glitches that seem bound to happen regardless of the amount of updates to the app happen,Don't enjoy the every so often glitches that seem bound to happen regardless of the amount of updates to the app happen,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:25:12
I don't have a notes(⁠｡⁠•́⁠︿⁠•̀⁠｡⁠) please fix this.,lang_jp I don't have a notes(⁠｡⁠•́⁠︿⁠•̀⁠｡⁠) please fix this.,lang_jp i don't have a notes(⁠。⁠ ́⁠〈⁠ ̀⁠。⁠) please fix this.,I don't have a notes(⁠。⁠•́⁠〈⁠•̀⁠。⁠) please fix this.,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:24:30
Awsome,lang_jp Awsome,lang_jp awsome,Awsome,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:24:04
My experience in this app is so awesome because ican call my best friends all the time,lang_jp My experience in this app is so awesome because ican call my best friends all the time,lang_jp my experience in this app is so awesome because ican call my best friends all the time,My experience in this app is so awesome because ican call my best friends all the time,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:22:08
Nice,lang_jp Nice,lang_jp nice,Nice,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:22:06
Can't be updated!,lang_jp Can't be updated!,lang_jp can't be updated!,Can't be updated!,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:21:55
Puro loading maski malakas signal puro update wala nababago,lang_jp Puro loading maski malakas signal puro update wala nababago,lang_jp puro loading maski malakas signal puro update wala nababago,Puro loading maski malakas signal puro update wala nababago,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:21:50
Best apps,lang_jp Best apps,lang_jp best apps,Best apps,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:21:40
Fantastic app,lang_jp Fantastic app,lang_jp fantastic app,Fantastic app,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:21:13
The app will only notify me of a notification if the app is open even though it is set not to sleep. If I close it I get nothing until I open it again. It does work as it should occasionally but it's very sporadic. Samsung Galaxy A53 5G Android 13.,lang_jp The app will only notify me of a notification if the app is open even though it is set not to sleep. If I close it I get nothing until I open it again. It does work as it should occasionally but it's very sporadic. Samsung Galaxy A53 5G Android 13.,lang_jp the app will only notify me of a notification if the app is open even though it is set not to sleep. if i close it i get nothing until i open it again. it does work as it should occasionally but it's very sporadic. samsung galaxy a53 5g android 13.,The app will only notify me of a notification if the app is open even though it is set not to sleep. If I close it I get nothing until I open it again. It does work as it should occasionally but it's very sporadic. Samsung Galaxy A53 5G Android 13.,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:19:54
great,lang_jp great,lang_jp great,great,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:19:03
Why I can't messege my new friends?,lang_jp Why I can't messege my new friends?,lang_jp why i can't messege my new friends?,Why I can't messege my new friends?,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:18:53
So cool,lang_jp So cool,lang_jp so cool,So cool,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:16:06
Really very usefull apps,lang_jp Really very usefull apps,lang_jp really very usefull apps,Really very usefull apps,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:15:25
Sd.m,lang_jp Sd.m,lang_jp sd.m,Sd.m,neutral,1,JP,Japanese,Facebook Messenger,2023-09-19 12:14:43
Supper,lang_jp Supper,lang_jp supper,Supper,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:14:02
Wow 😃,lang_jp Wow 😃,lang_jp wow 😃,Wow 😃,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:12:42
Very nice 🙏🏽,lang_jp Very nice 🙏🏽,lang_jp very nice 🙏🏽,Very nice 🙏🏽,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:11:09
Just loading issue 🥺,lang_jp Just loading issue 🥺,lang_jp just loading issue 🥺,Just loading issue 🥺,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:09:17
Veri good,lang_jp Veri good,lang_jp veri good,Veri good,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:07:28
All around cool!,lang_jp All around cool!,lang_jp all around cool!,All around cool!,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:07:15
Pag chance ko mag hitter ....nag kandarapa na Ang line...parang sinasadya..kaainis...Hindi ko na mapindot. Agad tapos balik lang Ang line pag talo na...ako,lang_jp Pag chance ko mag hitter ....nag kandarapa na Ang line...parang sinasadya..kaainis...Hindi ko na mapindot. Agad tapos balik lang Ang line pag talo na...ako,lang_jp pag chance ko mag hitter ....nag kandarapa na ang line...parang sinasadya..kaainis...hindi ko na mapindot. agad tapos balik lang ang line pag talo na...ako,Pag chance ko mag hitter ....nag kandarapa na Ang line...parang sinasadya..kaainis...Hindi ko na mapindot. Agad tapos balik lang Ang line pag talo na...ako,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:06:33
After update the app always hangs,lang_jp After update the app always hangs,lang_jp after update the app always hangs,After update the app always hangs,neutral,1,JP,Japanese,Facebook Messenger,2023-09-19 12:05:56
Fairy bad,lang_jp Fairy bad,lang_jp fairy bad,Fairy bad,neutral,1,JP,Japanese,Facebook Messenger,2023-09-19 12:05:48
Messager,lang_jp Messager,lang_jp messager,Messager,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:05:35
Ok,lang_jp Ok,lang_jp ok,Ok,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 12:04:01
super lag,lang_jp super lag,lang_jp super lag,super lag,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:01:44
আব্দুর রহিম,lang_jp আব্দুর রহিম,lang_jp আব্দুর রহিম,আব্দুর রহিম,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:01:37
terrible I can't even make any calls,lang_jp terrible I can't even make any calls,lang_jp terrible i can't even make any calls,terrible I can't even make any calls,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 12:00:56
"I have no messenger,what happen this messenger","lang_jp I have no messenger,what happen this messenger","lang_jp i have no messenger,what happen this messenger","I have no messenger,what happen this messenger",neutral,1,JP,Japanese,Facebook Messenger,2023-09-19 11:59:30
🌸🌺❤️🌺🌸,lang_jp 🌸🌺❤️🌺🌸,lang_jp 🌸🌺❤️🌺🌸,🌸🌺❤️🌺🌸,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 11:57:57
it's a great game to play.,lang_jp it's a great game to play.,lang_jp it's a great game to play.,it's a great game to play.,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 11:57:48
it's very nice app instil it,lang_jp it's very nice app instil it,lang_jp it's very nice app instil it,it's very nice app instil it,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 11:55:14
Thank you,lang_jp Thank you,lang_jp thank you,Thank you,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 11:53:50
greate apps,lang_jp greate apps,lang_jp greate apps,greate apps,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 11:53:36
It sucks app keeps on loading other while appss and Facebook is working perfectly fine!,lang_jp It sucks app keeps on loading other while appss and Facebook is working perfectly fine!,lang_jp it sucks app keeps on loading other while appss and facebook is working perfectly fine!,It sucks app keeps on loading other while appss and Facebook is working perfectly fine!,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 11:50:02
Carnt cornett to fb light,lang_jp Carnt cornett to fb light,lang_jp carnt cornett to fb light,Carnt cornett to fb light,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 11:49:13
Fantastic,lang_jp Fantastic,lang_jp fantastic,Fantastic,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 11:45:21
Good,lang_jp Good,lang_jp good,Good,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 11:43:48
Very great,lang_jp Very great,lang_jp very great,Very great,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 11:41:47
It is very unique,lang_jp It is very unique,lang_jp it is very unique,It is very unique,negative,0,JP,Japanese,Facebook Messenger,2023-09-19 11:39:23
Unsend all msg see Update,lang_jp Unsend all msg see Update,lang_jp unsend all msg see update,Unsend all msg see Update,positive,2,JP,Japanese,Facebook Messenger,2023-09-19 11:39:09
"Malissimo, non mi dà l'ultima connessione degli amici, ovviamente mi riferisco a chi nn disattiva la connessione","lang_it Malissimo, non mi dà l'ultima connessione degli amici, ovviamente mi riferisco a chi nn disattiva la connessione","lang_it malissimo, non mi dà l'ultima connessione degli amici, ovviamente mi riferisco a chi nn disattiva la connessione","Malissimo, non mi dà l'ultima connessione degli amici, ovviamente mi riferisco a chi nn disattiva la connessione",negative,0,IT,Italian,Facebook Messenger,2023-09-19 14:39:58
Tutto ok,lang_it Tutto ok,lang_it tutto ok,Tutto ok,positive,2,IT,Italian,Facebook Messenger,2023-09-19 11:53:36
Continua a non dare le notifiche.........,lang_it Continua a non dare le notifiche.........,lang_it continua a non dare le notifiche.........,Continua a non dare le notifiche.........,negative,0,IT,Italian,Facebook Messenger,2023-09-19 11:10:03
Non voglio installarla!! E voi continuate ad aprirmi la pagina o a mandare finti messaggi da parte di amici. Adesso mi obbligate a passare da Messanger lite al normale che fa letteralmente schifo!! Facebook sempre peggio. Poi i link non me li apre con il broswer predefinito che ho impostato ma con uno suo e questo non mi piace perché non ho nessun controllo!! Penso che chiuderò facebook.,lang_it Non voglio installarla!! E voi continuate ad aprirmi la pagina o a mandare finti messaggi da parte di amici. Adesso mi obbligate a passare da Messanger lite al normale che fa letteralmente schifo!! Facebook sempre peggio. Poi i link non me li apre con il broswer predefinito che ho impostato ma con uno suo e questo non mi piace perché non ho nessun controllo!! Penso che chiuderò facebook.,lang_it non voglio installarla!! e voi continuate ad aprirmi la pagina o a mandare finti messaggi da parte di amici. adesso mi obbligate a passare da messanger lite al normale che fa letteralmente schifo!! facebook sempre peggio. poi i link non me li apre con il broswer predefinito che ho impostato ma con uno suo e questo non mi piace perché non ho nessun controllo!! penso che chiuderò facebook.,Non voglio installarla!! E voi continuate ad aprirmi la pagina o a mandare finti messaggi da parte di amici. Adesso mi obbligate a passare da Messanger lite al normale che fa letteralmente schifo!! Facebook sempre peggio. Poi i link non me li apre con il broswer predefinito che ho impostato ma con uno suo e questo non mi piace perché non ho nessun controllo!! Penso che chiuderò facebook.,negative,0,IT,Italian,Facebook Messenger,2023-09-19 00:37:40
Negativa,lang_it Negativa,lang_it negativa,Negativa,positive,2,IT,Italian,Facebook Messenger,2023-09-18 22:36:40
Non riesco più ad inviare messaggi su Messenger potete risolvere.Grazie,lang_it Non riesco più ad inviare messaggi su Messenger potete risolvere.Grazie,lang_it non riesco più ad inviare messaggi su messenger potete risolvere.grazie,Non riesco più ad inviare messaggi su Messenger potete risolvere.Grazie,negative,0,IT,Italian,Facebook Messenger,2023-09-18 22:23:24
Adesso è OK BENE cosi.,lang_it Adesso è OK BENE cosi.,lang_it adesso è ok bene cosi.,Adesso è OK BENE cosi.,positive,2,IT,Italian,Facebook Messenger,2023-09-18 21:25:13
Sono stato obbligato a scaricarla perché Messenger lite è stato chiuso e questa app consuma il doppio.,lang_it Sono stato obbligato a scaricarla perché Messenger lite è stato chiuso e questa app consuma il doppio.,lang_it sono stato obbligato a scaricarla perché messenger lite è stato chiuso e questa app consuma il doppio.,Sono stato obbligato a scaricarla perché Messenger lite è stato chiuso e questa app consuma il doppio.,negative,0,IT,Italian,Facebook Messenger,2023-09-18 19:49:28
Tutto bene,lang_it Tutto bene,lang_it tutto bene,Tutto bene,positive,2,IT,Italian,Facebook Messenger,2023-09-18 19:47:07
Pessima,lang_it Pessima,lang_it pessima,Pessima,negative,0,IT,Italian,Facebook Messenger,2023-09-18 19:09:02
Ddxex.a,lang_it Ddxex.a,lang_it ddxex.a,Ddxex.a,negative,0,IT,Italian,Facebook Messenger,2023-09-18 18:42:22
Facilissimo da usare ed utile,lang_it Facilissimo da usare ed utile,lang_it facilissimo da usare ed utile,Facilissimo da usare ed utile,positive,2,IT,Italian,Facebook Messenger,2023-09-18 17:18:36
"Messenger lite non funziona più e questa app sul mio Huawei p40 lite non posso installarla, come devo fare?","lang_it Messenger lite non funziona più e questa app sul mio Huawei p40 lite non posso installarla, come devo fare?","lang_it messenger lite non funziona più e questa app sul mio huawei p40 lite non posso installarla, come devo fare?","Messenger lite non funziona più e questa app sul mio Huawei p40 lite non posso installarla, come devo fare?",negative,0,IT,Italian,Facebook Messenger,2023-09-18 17:02:12
Non va più su Hawei,lang_it Non va più su Hawei,lang_it non va più su hawei,Non va più su Hawei,negative,0,IT,Italian,Facebook Messenger,2023-09-18 16:12:21
Usavo la versione lite e sono stata obbligata a installarlo,lang_it Usavo la versione lite e sono stata obbligata a installarlo,lang_it usavo la versione lite e sono stata obbligata a installarlo,Usavo la versione lite e sono stata obbligata a installarlo,negative,0,IT,Italian,Facebook Messenger,2023-09-18 15:55:33
Bbbbbbbbbbbbbb Ok,lang_it Bbbbbbbbbbbbbb Ok,lang_it bbbbbbbbbbbbbb ok,Bbbbbbbbbbbbbb Ok,neutral,1,IT,Italian,Facebook Messenger,2023-09-18 14:18:08
"Garanzia di qualità e cortesia! Siamo stati accolti col sorriso che abbiamo ricambiato più e più volte soprattutto dopo aver assaggiato le fantasmagoriche ribs usufruendo dell'azzeccatissima ""promo ribs"". Carne tenera e di un gusto che ti manda in estasi, ma che ve lo dico a fare...tanto lo sapete già!!! Cinque stelle non rendono l'idea.","lang_it Garanzia di qualità e cortesia! Siamo stati accolti col sorriso che abbiamo ricambiato più e più volte soprattutto dopo aver assaggiato le fantasmagoriche ribs usufruendo dell'azzeccatissima ""promo ribs"". Carne tenera e di un gusto che ti manda in estasi, ma che ve lo dico a fare...tanto lo sapete già!!! Cinque stelle non rendono l'idea.","lang_it garanzia di qualità e cortesia! siamo stati accolti col sorriso che abbiamo ricambiato più e più volte soprattutto dopo aver assaggiato le fantasmagoriche ribs usufruendo dell'azzeccatissima ""promo ribs"". carne tenera e di un gusto che ti manda in estasi, ma che ve lo dico a fare...tanto lo sapete già!!! cinque stelle non rendono l'idea.","Garanzia di qualità e cortesia! Siamo stati accolti col sorriso che abbiamo ricambiato più e più volte soprattutto dopo aver assaggiato le fantasmagoriche ribs usufruendo dell'azzeccatissima ""promo ribs"". Carne tenera e di un gusto che ti manda in estasi, ma che ve lo dico a fare...tanto lo sapete già!!! Cinque stelle non rendono l'idea.",positive,2,IT,Italian,Facebook Messenger,2023-09-18 13:16:25
"Assurdo essere obbligata ad installarla perché avete tolto la versione lite, sempre peggio","lang_it Assurdo essere obbligata ad installarla perché avete tolto la versione lite, sempre peggio","lang_it assurdo essere obbligata ad installarla perché avete tolto la versione lite, sempre peggio","Assurdo essere obbligata ad installarla perché avete tolto la versione lite, sempre peggio",negative,0,IT,Italian,Facebook Messenger,2023-09-18 12:05:29
"Non sono un esperto di internet ma, più di un anno fa, ho fatto una inserzione x vendere la mia cascina , è stata pubblicata regolarmente x molto tempo e rinnovata spesso mettendo in evidenza. Da qualche mese, mi viene rifiutata la messa in evidenza della inserzione e, non riesco a ripubblicarla. Potete spiegarmi che problema c'è e, come risolvere questa situazione! Grazie, buon lavoro!","lang_it Non sono un esperto di internet ma, più di un anno fa, ho fatto una inserzione x vendere la mia cascina , è stata pubblicata regolarmente x molto tempo e rinnovata spesso mettendo in evidenza. Da qualche mese, mi viene rifiutata la messa in evidenza della inserzione e, non riesco a ripubblicarla. Potete spiegarmi che problema c'è e, come risolvere questa situazione! Grazie, buon lavoro!","lang_it non sono un esperto di internet ma, più di un anno fa, ho fatto una inserzione x vendere la mia cascina , è stata pubblicata regolarmente x molto tempo e rinnovata spesso mettendo in evidenza. da qualche mese, mi viene rifiutata la messa in evidenza della inserzione e, non riesco a ripubblicarla. potete spiegarmi che problema c'è e, come risolvere questa situazione! grazie, buon lavoro!","Non sono un esperto di internet ma, più di un anno fa, ho fatto una inserzione x vendere la mia cascina , è stata pubblicata regolarmente x molto tempo e rinnovata spesso mettendo in evidenza. Da qualche mese, mi viene rifiutata la messa in evidenza della inserzione e, non riesco a ripubblicarla. Potete spiegarmi che problema c'è e, come risolvere questa situazione! Grazie, buon lavoro!",positive,2,IT,Italian,Facebook Messenger,2023-09-18 11:29:30
"Il lite era perfetto, perché toglierlo?","lang_it Il lite era perfetto, perché toglierlo?","lang_it il lite era perfetto, perché toglierlo?","Il lite era perfetto, perché toglierlo?",negative,0,IT,Italian,Facebook Messenger,2023-09-18 10:49:05
Eccellente,lang_it Eccellente,lang_it eccellente,Eccellente,positive,2,IT,Italian,Facebook Messenger,2023-09-18 10:47:19
"Questa APP non mi piace assolutamente ! Troppo pesante, troppe cose inutili ! Sono costretta ad usare questa App. x interagire con le chat business !! 😠😠😠","lang_it Questa APP non mi piace assolutamente ! Troppo pesante, troppe cose inutili ! Sono costretta ad usare questa App. x interagire con le chat business !! 😠😠😠","lang_it questa app non mi piace assolutamente ! troppo pesante, troppe cose inutili ! sono costretta ad usare questa app. x interagire con le chat business !! 😠😠😠","Questa APP non mi piace assolutamente ! Troppo pesante, troppe cose inutili ! Sono costretta ad usare questa App. x interagire con le chat business !! 😠😠😠",negative,0,IT,Italian,Facebook Messenger,2023-09-18 10:44:45
"La miglior app di messaggistica di Meta, con anche delle buone videochiamate.","lang_it La miglior app di messaggistica di Meta, con anche delle buone videochiamate.","lang_it la miglior app di messaggistica di meta, con anche delle buone videochiamate.","La miglior app di messaggistica di Meta, con anche delle buone videochiamate.",positive,2,IT,Italian,Facebook Messenger,2023-09-18 10:23:29
Sono un po' anziano io penso che siete molto bravi a far funzionare tutte queste cose io mi sento un po importante è allora per me è tutto super ottimo buon lavoro scusatemi se qualche volta cometto qualche pasticcio ma sono 86 suonati 🖐,lang_it Sono un po' anziano io penso che siete molto bravi a far funzionare tutte queste cose io mi sento un po importante è allora per me è tutto super ottimo buon lavoro scusatemi se qualche volta cometto qualche pasticcio ma sono 86 suonati 🖐,lang_it sono un po' anziano io penso che siete molto bravi a far funzionare tutte queste cose io mi sento un po importante è allora per me è tutto super ottimo buon lavoro scusatemi se qualche volta cometto qualche pasticcio ma sono 86 suonati 🖐,Sono un po' anziano io penso che siete molto bravi a far funzionare tutte queste cose io mi sento un po importante è allora per me è tutto super ottimo buon lavoro scusatemi se qualche volta cometto qualche pasticcio ma sono 86 suonati 🖐,positive,2,IT,Italian,Facebook Messenger,2023-09-18 10:07:20
❤️,lang_it ❤️,lang_it ❤️,❤️,positive,2,IT,Italian,Facebook Messenger,2023-09-18 10:00:39
Bene,lang_it Bene,lang_it bene,Bene,positive,2,IT,Italian,Facebook Messenger,2023-09-18 09:42:43
Messenger Lite era infinitamente migliore.,lang_it Messenger Lite era infinitamente migliore.,lang_it messenger lite era infinitamente migliore.,Messenger Lite era infinitamente migliore.,negative,0,IT,Italian,Facebook Messenger,2023-09-18 07:03:33
Messenger lite assolutamente migliore,lang_it Messenger lite assolutamente migliore,lang_it messenger lite assolutamente migliore,Messenger lite assolutamente migliore,negative,0,IT,Italian,Facebook Messenger,2023-09-18 06:29:10
Non è intuitiva e spesso richiede manutenziobe,lang_it Non è intuitiva e spesso richiede manutenziobe,lang_it non è intuitiva e spesso richiede manutenziobe,Non è intuitiva e spesso richiede manutenziobe,neutral,1,IT,Italian,Facebook Messenger,2023-09-18 03:55:25
Mi avete fatto perdere tutte le chat del mio vecchio profilo di cui non ricordo la password. È collegato al mio num di telefono ma perché non mi mandate il codice di ripristino ??? Sono 2 anni che Ve lo chiedo !!! E ora con questo passaggio OBBLIGATORIO MI AVETE FATTO PERDERE TUTTO e cose MOLTOOOO IMPORTANTI. Vera delusione META. A mezzanotte precisa !!! Nel Vostro messaggio dite che sapete quanto siano importanti le chat x noi. DIMOSTRATELO !!!,lang_it Mi avete fatto perdere tutte le chat del mio vecchio profilo di cui non ricordo la password. È collegato al mio num di telefono ma perché non mi mandate il codice di ripristino ??? Sono 2 anni che Ve lo chiedo !!! E ora con questo passaggio OBBLIGATORIO MI AVETE FATTO PERDERE TUTTO e cose MOLTOOOO IMPORTANTI. Vera delusione META. A mezzanotte precisa !!! Nel Vostro messaggio dite che sapete quanto siano importanti le chat x noi. DIMOSTRATELO !!!,lang_it mi avete fatto perdere tutte le chat del mio vecchio profilo di cui non ricordo la password. è collegato al mio num di telefono ma perché non mi mandate il codice di ripristino ??? sono 2 anni che ve lo chiedo !!! e ora con questo passaggio obbligatorio mi avete fatto perdere tutto e cose moltoooo importanti. vera delusione meta. a mezzanotte precisa !!! nel vostro messaggio dite che sapete quanto siano importanti le chat x noi. dimostratelo !!!,Mi avete fatto perdere tutte le chat del mio vecchio profilo di cui non ricordo la password. È collegato al mio num di telefono ma perché non mi mandate il codice di ripristino ??? Sono 2 anni che Ve lo chiedo !!! E ora con questo passaggio OBBLIGATORIO MI AVETE FATTO PERDERE TUTTO e cose MOLTOOOO IMPORTANTI. Vera delusione META. A mezzanotte precisa !!! Nel Vostro messaggio dite che sapete quanto siano importanti le chat x noi. DIMOSTRATELO !!!,negative,0,IT,Italian,Facebook Messenger,2023-09-18 02:19:29
Penoso,lang_it Penoso,lang_it penoso,Penoso,negative,0,IT,Italian,Facebook Messenger,2023-09-18 01:49:54
